"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2898",608337,"Giolito, Lucas","2898","100.0","0.222","0.180","0.274","0.402","0.292","0.275","0.216","143","645","87.3","18.6","2008","87.8","88.44","477","1464","1434","0.6","6.72","111","152","114","150","301","319","296"
"2888",656302,"Cease, Dylan","2888","100.0","0.222","0.140","0.308","0.362","0.294","0.292","0.207","135","607","88.3","18.2","2610","89.4","88.70","466","1349","1539","-0.7","6.04","111","152","113","149","300","320","296"
"2881",605400,"Nola, Aaron","2881","100.0","0.235","0.171","0.308","0.406","0.296","0.282","0.221","158","672","88.6","13.8","2139","87.2","87.87","393","1410","1471","0.7","6.81","110","151","114","148","297","324","293"
"2877",640455,"Manaea, Sean","2877","100.0","0.254","0.161","0.315","0.414","0.310","0.308","0.246","172","678","89.8","13.0","1847","88.8","89.90","404","1480","1397","1.1","7.18","109","151","120","150","301","326","299"
"2873",543037,"Cole, Gerrit","2873","100.0","0.218","0.138","0.302","0.357","0.269","0.268","0.204","142","650","88.4","12.3","2438","92.3","92.40","451","1400","1473","0.1","6.52","111","154","119","148","296","326","290"
"2868",605397,"Musgrove, Joe","2868","100.0","0.214","0.154","0.270","0.368","0.286","0.303","0.233","139","649","87.3","11.2","2674","87.2","86.47","396","1340","1528","-0.7","5.91","114","153","134","143","298","321","310"
"2865",543475,"Lyles, Jordan","2865","100.0","0.284","0.226","0.304","0.510","0.360","0.350","0.274","192","676","88.9","14.4","2383","87.7","88.10","319","1379","1486","0.4","6.72","113","156","122","147","301","326","297"
"2843",450203,"Morton, Charlie","2843","100.0","0.208","0.112","0.274","0.319","0.270","0.283","0.216","132","636","87.1","6.9","2563","88.8","88.59","375","1306","1537","-0.2","6.28","109","152","128","144","301","321","295"
"2837",543135,"Eovaldi, Nathan","2837","100.0","0.255","0.149","0.329","0.405","0.301","0.285","0.239","178","697","87.9","12.5","2062","90.2","90.78","378","1466","1371","0.6","6.68","111","156","118","149","289","324","298"
"2795",502043,"Gibson, Kyle","2795","100.0","0.234","0.119","0.278","0.353","0.289","0.297","0.239","154","657","88.4","6.8","2210","88.3","88.88","306","1254","1541","0.6","6.65","112","154","118","148","296","325","295"
"2788",608566,"Márquez, Germán","2788","100.0","0.242","0.147","0.297","0.389","0.303","0.307","0.246","165","682","87.9","4.7","2270","90.5","89.17","360","1332","1456","-1.3","5.34","112","152","117","148","299","330","304"
"2747",605540,"Woodruff, Brandon","2747","100.0","0.194","0.114","0.257","0.308","0.246","0.274","0.221","123","633","85.2","9.3","2340","92.0","91.93","399","1406","1341","-0.1","6.45","110","154","116","149","299","323","299"
"2731",543294,"Hendricks, Kyle","2731","100.0","0.279","0.202","0.301","0.481","0.345","0.336","0.273","195","699","85.5","10.7","2018","83.6","81.71","267","1332","1399","-1.9","5.79","111","156","114","150","296","322","297"
